date,ticker,sentiment_score,article_count
2026-03-16,AAPL,0.0648,12
2026-03-17,AAPL,-0.0493,19
2026-03-18,AAPL,0.0126,11
2026-03-19,AAPL,0.0566,10
2026-03-20,AAPL,0.1987,26
2026-03-23,AAPL,-0.0377,15
2026-03-24,AAPL,0.0183,15
2026-03-25,AAPL,0.0794,14
2026-03-26,AAPL,-0.0663,13
2026-03-27,AAPL,0.046,14
2026-03-30,AAPL,0.0971,10
2026-03-31,AAPL,0.0328,19
2026-04-01,AAPL,-0.0892,18
2026-04-02,AAPL,-0.0237,10
2026-04-03,AAPL,-0.0419,15
2026-04-06,AAPL,0.0006,17
2026-04-07,AAPL,0.0843,13
2026-04-08,AAPL,-0.0096,11
2026-04-09,AAPL,-0.0747,12
2026-04-10,AAPL,0.0672,12
2026-04-13,AAPL,-0.0068,14
2026-04-14,AAPL,-0.0256,18
2026-04-15,AAPL,-0.0102,15
2026-04-16,AAPL,0.0631,14
2026-04-17,AAPL,-0.0065,16
2026-04-20,AAPL,-0.0884,21
2026-04-21,AAPL,-0.0029,18
2026-04-22,AAPL,0.011,14
2026-04-23,AAPL,0.0621,16
2026-04-24,AAPL,-0.0883,18
2026-03-16,MSFT,0.0125,16
2026-03-17,MSFT,-0.0253,8
2026-03-18,MSFT,0.0115,15
2026-03-19,MSFT,0.0224,9
2026-03-20,MSFT,-0.0573,22
2026-03-23,MSFT,-0.1162,16
2026-03-24,MSFT,-0.1238,15
2026-03-25,MSFT,0.0609,15
2026-03-26,MSFT,0.027,16
2026-03-27,MSFT,0.0153,13
2026-03-30,MSFT,-0.0551,21
2026-03-31,MSFT,-0.089,9
2026-04-01,MSFT,-0.0104,12
2026-04-02,MSFT,-0.0641,13
2026-04-03,MSFT,0.061,13
2026-04-06,MSFT,0.0247,15
2026-04-07,MSFT,-0.0585,10
2026-04-08,MSFT,-0.1042,21
2026-04-09,MSFT,0.0984,18
2026-04-10,MSFT,0.0824,9
2026-04-13,MSFT,0.0085,22
2026-04-14,MSFT,0.126,19
2026-04-15,MSFT,-0.0368,16
2026-04-16,MSFT,0.1063,13
2026-04-17,MSFT,-0.0377,15
2026-04-20,MSFT,0.0209,12
2026-04-21,MSFT,0.0454,10
2026-04-22,MSFT,-0.0736,16
2026-04-23,MSFT,-0.0328,10
2026-04-24,MSFT,0.033,14
2026-03-16,GOOGL,0.1161,17
2026-03-17,GOOGL,0.0431,19
2026-03-18,GOOGL,-0.0114,12
2026-03-19,GOOGL,-0.0491,20
2026-03-20,GOOGL,-0.0065,13
2026-03-23,GOOGL,0.0283,20
2026-03-24,GOOGL,0.2062,12
2026-03-25,GOOGL,0.1828,9
2026-03-26,GOOGL,0.0064,13
2026-03-27,GOOGL,0.098,11
2026-03-30,GOOGL,0.0252,9
2026-03-31,GOOGL,0.0145,11
2026-04-01,GOOGL,0.0736,17
2026-04-02,GOOGL,0.064,15
2026-04-03,GOOGL,-0.0219,6
